Photo Tournament Log
===========================
Round 1, Match 21: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (130) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (131) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (130) — копия.png, Decision Time: 0.08s
Round 1, Match 23: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (134) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (135) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (135) — копия.png, Decision Time: 0.00s
Round 1, Match 25: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (138) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (139) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (138) — копия.png, Decision Time: 0.00s
Round 1, Match 25: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (138) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (139) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (139) — копия.png, Decision Time: 0.01s
Round 1, Match 25: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (138) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (139) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (138) — копия.png, Decision Time: 0.10s
Round 1, Match 26: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (14) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (14).png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (14).png, Decision Time: 0.04s
Round 1, Match 28: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (142) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (143) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (142) — копия.png, Decision Time: 0.00s
Round 1, Match 29: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (144) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (145) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (145) — копия.png, Decision Time: 0.00s
Round 1, Match 30: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (146) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (147) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (146) — копия.png, Decision Time: 0.00s
Round 1, Match 30: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (146) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (147) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (147) — копия.png, Decision Time: 0.10s
Round 1, Match 32: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (15) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (15).png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (15) — копия.png, Decision Time: 0.00s
Round 1, Match 33: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (150) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (151) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (151) — копия.png, Decision Time: 0.00s
Round 1, Match 34: ['C:/Users/User/Pictures/Screenshots\\Снимок экрана (152) — копия.png', 'C:/Users/User/Pictures/Screenshots\\Снимок экрана (153) — копия.png'] -> Winner: C:/Users/User/Pictures/Screenshots\Снимок экрана (152) — копия.png, Decision Time: 0.00s
